"DataSource","USGS_or_Durham_station_ID","Sample_date","Sample_time","Instantaneous_flow_cfs","Daily_mean_flow_cfs","Dissolved_oxygen_mg.L","pH_standard_units","Specific_conductance_uS.cm_25C","Water_temperature_C","Turbidity_unfiltered_NTU","Ammonia.organicN_unfiltered_mg.L_N","Nitrate.nitrite_unfiltered_mg.L_N","Nitrate.nitrite_filtered_mg.L_.N","Total.nitrogen_computed_mg.L_N","Total_nitrogen_measured_mg.L_N","Phosphorus_unfiltered_mg.L_P","year"
"City of Durham","NH3.3SC",2015-04-22,845,7.42,"4.66",7.72,"7.14",283,16.2,"11.2","0.62","0.21","--",0.83,"--",0.06,"2015"
"City of Durham","NH3.3SC",2015-05-20,915,1.67,"1.8",NA,"7.22",273,22.1,"11.5","0.5","0.2","--",0.7,"--",0.06,"2015"
"City of Durham","NH3.3SC",2015-06-17,751,0.73,"0.38",5.15,"7.39",323,25,"45","0.64","0.2","--",0.84,"--",0.13,"2015"
"City of Durham","NH3.3SC",2015-07-22,755,3.13,"3.23",5.18,"7",136,25.2,"84","0.94","0.44","--",1.38,"--",0.18,"2015"
"City of Durham","NH3.3SC",2015-08-19,805,0.92,"0.86",5.41,"7.21",243,23.6,"2.92","0.64","0.15","--",0.79,"--",0.58,"2015"
"City of Durham","NH3.3SC",2015-09-23,900,0.17,"0.22",5.94,"7.04",234,19.7,"5.28","0.43","0.32","--",0.75,"--",0.06,"2015"
"City of Durham","NH3.3SC",2015-10-21,917,1.14,"1.09",8.67,"7.1",273,9.2,"1.25","<0.19","E0.08","--",0.27,"--",NA,"2015"
"City of Durham","NH3.3SC",2015-11-18,848,1.52,"1.52",8.7,"7.07",256,12,"6.17","0.74","0.22","--",0.96,"--",0.05,"2015"
"City of Durham","NH3.3SC",2015-12-08,917,16,"3.7",10.74,"7.22",281,9.6,"E553","1.24","0.34","--",1.58,"--",0.53,"2015"
"City of Durham","NH3.3SC",2016-01-12,1210,2.15,"2.4",12.45,"7.12",250,5.6,"13.6","0.88","0.38","--",1.26,"--",0.09,"2016"
"City of Durham","NH3.3SC",2016-02-09,1150,2.72,"2.77",NA,"7.17",413,7.1,"11.8","0.56","0.5","--",1.06,"--",NA,"2016"
